yourlist:M202109254ABAA9BC7178C81CEBC9459510EDDEA3208C12P,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
hsa:10229,Q99807,COQ7_HUMAN,reviewed,"5-demethoxyubiquinone hydroxylase, mitochondrial (DMQ hydroxylase) (EC 1.14.99.60) (Timing protein clk-1 homolog) (Ubiquinone biosynthesis monooxygenase COQ7)",COQ7,Homo sapiens (Human),217
hsa:154807,Q8N0U8,VKORL_HUMAN,reviewed,Vitamin K epoxide reductase complex subunit 1-like protein 1 (VKORC1-like protein 1) (EC 1.17.4.4),VKORC1L1,Homo sapiens (Human),176
hsa:154807,A8K0F7,A8K0F7_HUMAN,unreviewed,Vitamin-K-epoxide reductase (warfarin-sensitive) (EC 1.17.4.4),,Homo sapiens (Human),176
hsa:1728,P15559,NQO1_HUMAN,reviewed,NAD(P)H dehydrogenase [quinone] 1 (EC 1.6.5.2) (Azoreductase) (DT-diaphorase) (DTD) (Menadione reductase) (NAD(P)H:quinone oxidoreductase 1) (Phylloquinone reductase) (Quinone reductase 1) (QR1),NQO1 DIA4 NMOR1,Homo sapiens (Human),274
hsa:2677,P38435,VKGC_HUMAN,reviewed,Vitamin K-dependent gamma-carboxylase (EC 4.1.1.90) (Gamma-glutamyl carboxylase) (Peptidyl-glutamate 4-carboxylase) (Vitamin K gamma glutamyl carboxylase),GGCX GC,Homo sapiens (Human),758
hsa:3242,P32754,HPPD_HUMAN,reviewed,4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase),HPD PPD,Homo sapiens (Human),393
hsa:51004,Q9Y2Z9,COQ6_HUMAN,reviewed,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.13.-) (Coenzyme Q10 monooxygenase 6)",COQ6 CGI-10,Homo sapiens (Human),468
hsa:51805,Q9NZJ6,COQ3_HUMAN,reviewed,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial (3-demethylubiquinol 3-O-methyltransferase) (EC 2.1.1.64) (Polyprenyldihydroxybenzoate methyltransferase) (EC 2.1.1.114)",COQ3 UG0215E05,Homo sapiens (Human),369
hsa:6898,P17735,ATTY_HUMAN,reviewed,Tyrosine aminotransferase (TAT) (EC 2.6.1.5) (L-tyrosine:2-oxoglutarate aminotransferase),TAT,Homo sapiens (Human),454
hsa:6898,A0A140VKB7,A0A140VKB7_HUMAN,unreviewed,Tyrosine aminotransferase (TAT) (EC 2.6.1.5),,Homo sapiens (Human),454
